PROVIDER_NUMBER,FYB,FYE,STATUS,HOSPITAL_Name,Street_Addr,Po_BOx,City,State,Zip_Code,County,IME1,IME2,IME3,DSH1,DSH2,DSH3,DSH_SHARE_PERCENTAGE,GME_PART_A,GME_PART_B,TOTAL_HOSPITAL_BEDS,TOTAL_HOSPITAL_BED_DAYS_AVAILABLE,TOTAL_HOSPITAL_MEDICARE_DAYS,TOTAL_HOSPITAL_MEDICAID_DAYS,TOTAL_HOSPITAL_DAYS,INTERNS_AND_RESIDENTS,TOTAL_HOSPITAL_EMPLOYEES_ON_PAYROL,TOTAL_HOSPITAL_NON_PAID_WORKERS,TOTAL_HOSPITAL_MEDICARE_DISCHARGES,TOTAL_HOSPITAL_MEDICAID_DISCHARGES,TOTAL_HOSPITAL_DISCHARGES,MEDICAID_HMO_DISCHARGES,MEDICAID_HMO_IPF_SUBPROVIDER,MEDICAID_HMO_IRF_SUBPROVIDER,MEDICAID_IPF_SUBPROVIDER,MEDICAID_IRF_SUBPROVIDER,TOTAL_DISCHARGES_SUBPROVIDER_IPF,TOTAL_DISCHARGES_SUBPROVIDER_IRF
010021,01-OCT-20,30-SEP-21,As Submitted,DALE MEDICAL CENTER                     ,126 HOSPITAL                            ,,OZARK                                   ,AL                                      ,36360-                                  ,DALE                                    ,,,,84984,,,.12,,,77,28105,2002,1422,8300,,272.44,,337,229,1324,,,,8,,50,
010022,01-JUL-21,31-DEC-21,As Submitted,CHEROKEE MEDICAL CENTER                 ,400 NORTHWOOD DRIVE                     ,,CENTRE                                  ,AL                                      ,35960-                                  ,CHEROKEE                                ,,,,13730,,,.12,,,45,8280,370,899,2230,,125.32,,82,188,507,,,,,,,
010023,01-JUL-21,30-JUN-22,Amended,BAPTIST MEDICAL CENTER SOUTH            ,2105  EAST SOUTH BOULEVARD              ,11010                                   ,MONTGOMERY                              ,AL                                      ,36116-                                  ,MONTGOMERY                              ,2186427,,,1513980,,,.1885,957748,643808,329,113358,19307,20973,97790,40.72,1830.36,,2776,2302,14392,,,,551,,1191,
010024,01-JAN-21,31-DEC-21,As Submitted,JACKSON HOSPITAL AND CLINIC  INC        ,1725 PINE STREET                        ,,MONTGOMERY                              ,AL                                      ,36106-1109                              ,MONTGOMERY                              ,,,,910944,,,.1361,,,278,101470,15530,11066,69733,,1566.79,,2434,1918,11741,417,,,,,,
010029,01-OCT-20,30-SEP-21,As Submitted,EAST ALABAMA MEDICAL CENTER             ,2000 PEPPERELL PKWY                     ,,OPELIKA                                 ,AL                                      ,36802-                                  ,LEE                                     ,134138,,,982517,,,.1295,,,311,113515,19328,16023,80171,2.52,2290.97,,2994,3512,15455,,,,,,,39
010033,01-OCT-20,30-SEP-21,Amended,UNIVERSITY OF ALABAMA HOSPITAL          ,619 SOUTH 19TH STREET                   ,,BIRMINGHAM                              ,AL                                      ,35233                                   ,JEFFERSON                               ,21271853,,,5970868,,,.1642,7825552,3327741,1129,412014,71004,86999,361337,587.43,9619.93,,10527,9072,48579,,,,774,255,2603,1187
010034,01-OCT-20,30-SEP-21,Amended,COMMUNITY HOSPITAL INC.                 ,805 FRIENDSHIP DRIVE                    ,,TALLASSEE                               ,AL                                      ,36078                                   ,ELMORE                                  ,,,,13122,,,.0713,,,37,13505,1010,168,2589,,142.28,,113,36,366,,,,2,,90,
010035,01-JUL-21,30-JUN-22,As Submitted,CULLMAN REGIONAL                        ,1912 ALABAMA HIGHWAY 157                ,,CULLMAN                                 ,AL                                      ,35056                                   ,CULLMAN                                 ,,,,334176,,,.0774,,,137,50005,10700,3828,33540,,1051.69,,2154,1258,7669,,,,,,,
010036,01-APR-21,31-MAR-22,As Submitted,ANDALUSIA REGIONAL HOSPITAL             ,849 THREE NOTCH STREET                  ,,ANDALUSIA                               ,AL                                      ,36420                                   ,COVINGTON                               ,,,,262875,,,.203,,,83,30295,3114,2447,9475,,243.94,,655,497,2196,3,,,,,,
010038,01-OCT-20,30-SEP-21,As Submitted,STRINGFELLOW MEMORIAL HOSPITAL          ,301 EAST 18TH STREET                    ,P.O. BOX                                ,ANNISTON                                ,AL                                      ,36207                                   ,CALHOUN                                 ,,,,165402,,,.145,,,125,45625,3483,2225,11244,,254.73,,633,372,2133,,,,,,,
010039,01-JUL-21,30-JUN-22,As Submitted,HUNTSVILLE HOSPITAL                     ,101 SIVLEY ROAD                         ,,HUNTSVILLE                              ,AL                                      ,35801-                                  ,MADISON                                 ,4063166,,,2598126,,,.0927,1683662,803144,904,329960,64855,50627,266153,62.31,7045.25,,10405,8790,50541,,,,263,,1759,
010040,01-OCT-20,30-SEP-21,As Submitted,GADSDEN REGIONAL MEDICAL CENTER         ,1007 GOODYEAR AVENUE                    ,,GADSDEN                                 ,AL                                      ,35903                                   ,ETOWAH                                  ,,,,708253,,,.1241,,,222,81030,15300,10167,56230,,865.35,,2331,1607,9621,,,,10,,313,
010044,01-OCT-20,30-SEP-21,Amended,MARION REGIONAL MEDICAL CENTER          ,1256 MILITARY ST SOUTH                  ,,HAMILTON                                ,AL                                      ,35570-                                  ,MARION                                  ,,,,14009,,,.0498,,,36,13140,1544,82,2546,,103.5,,164,23,370,,,,,,,
010045,01-OCT-20,30-SEP-21,Amended,FAYETTE MEDICAL CENTER                  ,1653 TEMPLE AVENUE NORTH                ,,FAYETTE                                 ,AL                                      ,35555-                                  ,FAYETTE                                 ,,,,22141,,,.0381,,,45,16425,2225,217,3998,,182.89,,329,75,725,,,,,,,
010046,01-JAN-21,31-DEC-21,Amended,RIVERVIEW REGIONAL MEDICAL CENTER       ,600 SOUTH 3RD STREET                    ,,GADSDEN                                 ,AL                                      ,35901                                   ,ETOWAH                                  ,,,,216519,,,.0494,,,256,93994,10078,3222,30959,,535.66,,1835,478,5775,,,,10,,185,
010049,01-JAN-21,31-DEC-21,As Submitted,MEDICAL CENTER ENTERPRISE               ,400 NORTH EDWARDS STREET                ,,ENTERPRISE                              ,AL                                      ,36330-                                  ,COFFEE                                  ,,,,215185,,,.12,,,99,36135,4190,3055,14584,,329.54,,878,1645,3547,18,,,,,,
010051,01-OCT-20,30-SEP-21,As Submitted,GREENE COUNTY HOSPITAL                  ,509 WILSON AVENUE                       ,,EUTAW                                   ,AL                                      ,35462                                   ,GREENE                                  ,,,,10894,,,.12,,,20,7300,324,1195,1608,,58.53,,52,174,239,,,,,,,
010052,01-JAN-21,31-DEC-21,As Submitted,LAKE MARTIN COMMUNITY HOSPITAL          ,1231 SOUTH STREET                       ,,DADEVILLE                               ,AL                                      ,36853                                   ,TALLAPOOSA                              ,,,,13994,,,.0778,,,46,16790,635,176,1762,,60.97,,122,48,418,,,,,,,
010055,01-OCT-20,30-SEP-21,As Submitted,FLOWERS HOSPITAL                        ,4370 WEST MAIN STREET                   ,6907                                    ,DOTHAN                                  ,AL                                      ,36302-                                  ,HOUSTON                                 ,,,,631154,,,.0823,,,204,74460,16043,7006,55753,,1054.98,,3044,1564,11733,,,,,,,
010056,01-JUL-21,30-JUN-22,As Submitted,ST VINCENTS BIRMINGHAM                  ,810 ST VINCENTS DRIVE                   ,,BIRMINGHAM                              ,AL                                      ,35205-                                  ,JEFFERSON                               ,65398,,,470162,,,.0532,41508,28904,401,146365,17446,9786,94162,,1625.59,,3253,1651,17201,,,,,,,
010058,01-OCT-20,30-SEP-21,As Submitted,BIBB MEDICAL CENTER                     ,165 PIERSON AVENUE                      ,,CENTREVILLE                             ,AL                                      ,35042                                   ,BIBB                                    ,,,,16030,,,.12,,,25,9125,1262,119,3071,,127.3,,93,87,287,,,,,,,
010059,01-OCT-20,30-SEP-21,Amended,LAWRENCE MEDICAL CENTER                 ,202 HOSPITAL STREET                     ,,MOULTON                                 ,AL                                      ,35650-                                  ,LAWRENCE                                ,,,,9879,,,.0552,,,43,15695,1074,73,2151,,105.19,,117,23,370,,,,,,,
010061,01-OCT-20,30-SEP-21,As Submitted,HIGHLANDS MEDICAL CENTER                ,380 WOOD COVE ROAD                      ,1050                                    ,SCOTTSBORO                              ,AL                                      ,35768                                   ,JACKSON                                 ,,,,151909,,,.12,,,45,16425,2757,3664,9827,,431.09,,552,559,2041,,,,,,,
010062,01-OCT-20,30-SEP-21,As Submitted,WIREGRASS MEDICAL CENTER                ,1200 WEST MAPLE STREET                  ,,GENEVA                                  ,AL                                      ,36340                                   ,GENEVA                                  ,,,,49299,,,.12,,,33,12045,1497,697,4186,,164.47,,234,172,706,6,,,,,229,
010065,01-JAN-21,31-DEC-21,As Submitted,RUSSELL MEDICAL CENTER                  ,3316 HIGHWAY 280                        ,939                                     ,ALEXANDER CITY                          ,AL                                      ,35010                                   ,TALLAPOOSA                              ,,,,131851,,,.1374,,,45,16425,2040,1388,7273,,71,,457,375,1716,10,,,,,,
010069,01-JAN-21,31-DEC-21,As Submitted,MEDICAL CENTER BARBOUR                  ,820 WEST WASHINGTON STREET              ,,EUFAULA                                 ,AL                                      ,36027                                   ,BARBOUR                                 ,,,,23931,,,.0527,,,30,10950,1217,429,4630,,148.99,,269,140,1055,,,,,,261,
010073,01-OCT-20,30-SEP-21,As Submitted,CLAY COUNTY HOSPITAL                    ,83825 HIGHWAY 9                         ,1270                                    ,ASHLAND                                 ,AL                                      ,36251                                   ,CLAY                                    ,,,,148529,,,.2675,,,46,16790,1710,1254,4593,,161.43,,327,267,938,,,,,,,
010078,01-OCT-20,30-SEP-21,Amended,NORTHEAST ALABAMA REGIONAL MED CTR      ,400 EAST TENTH STREET                   ,2208                                    ,ANNISTON                                ,AL                                      ,36202-                                  ,CALHOUN                                 ,,,,844413,,,.1395,,,272,99280,15773,11975,55706,,1209.42,,2514,3790,11116,,,,97,,482,
010079,01-JUL-21,30-JUN-22,As Submitted,ATHENS LIMESTONE                        ,700 MARKET ST W                         ,,ATHENS                                  ,AL                                      ,35611-                                  ,LIMESTONE                               ,,,,244871,,,.1038,,,66,24090,4492,2832,14794,,600.55,,1000,959,3689,,,,,,,
010083,01-OCT-20,30-SEP-21,As Submitted,SOUTH BALDWIN REGIONAL MEDICAL CENTE    ,1613 NORTH MCKENZIE                     ,,FOLEY                                   ,AL                                      ,36535-                                  ,BALDWIN                                 ,1987489,,,168728,,,.0395,822094,514466,112,40880,8184,3188,28889,24,667.09,,1894,732,6375,,,,,,,
010085,01-APR-21,31-MAR-22,Amended,DECATUR MORGAN - DECATUR CAMPUS         ,7TH STREET S.E.                         ,2239                                    ,DECATUR                                 ,AL                                      ,35609-                                  ,MORGAN                                  ,,,,344786,,,.0621,,,288,105120,15415,5547,46437,,1129.64,,2574,1457,8672,,,,741,,1443,
010086,01-JAN-21,31-DEC-21,As Submitted,NORTHWEST MEDICAL CENTER                ,HIGHWAY 78 WEST                         ,130                                     ,WINFIELD                                ,AL                                      ,35594                                   ,MARION                                  ,,,,24982,,,.04,,,28,10220,1776,430,3891,,181.62,,364,85,866,,,,13,,155,
010087,01-OCT-20,30-SEP-21,As Submitted,USA HEALTH UNIVERSITY HOSPITAL          ,2451 UNIVERSITY HOSPITAL DRIVE          ,,MOBILE                                  ,AL                                      ,36617                                   ,MOBILE                                  ,5682255,,,845742,,,.2,3447370,2625557,201,73488,9747,16621,68202,141.2,1783.39,,1359,2010,9406,,,,,,,
010089,01-JAN-21,31-DEC-21,As Submitted,WALKER BAPTIST MEDICAL CENTER           ,3400 HIGHWAY 78 EAST                    ,3547                                    ,JASPER                                  ,AL                                      ,35502                                   ,WALKER                                  ,,,,400752,,,.1367,,,207,75555,6545,5544,27701,,404.54,,1252,1271,6157,,,,304,,1375,
010090,01-JUL-21,30-JUN-22,As Submitted,PROVIDENCE HOSPITAL                     ,6801 AIRPORT BLVD                       ,,MOBILE                                  ,AL                                      ,36608                                   ,MOBILE                                  ,,,,412912,,,.0633,,,349,127385,13753,8126,68217,,1008.4,,2308,1814,12024,,,,,,,
010091,01-JUL-21,30-JUN-22,As Submitted,GROVE HILL MEMORIAL HOSPITAL            ,295 SOUTH JACKSON STREET                ,935                                     ,GROVE HILL                              ,AL                                      ,36451-                                  ,CLARKE                                  ,,,,10589,,,.12,,,21,7665,282,452,1631,,92.24,,59,176,396,,,,8,,117,
010092,01-OCT-20,30-SEP-21,As Submitted,DCH REGIONAL MEDICAL CENTER             ,809 UNIVERSITY BLVD EAST                ,,TUSCALOOSA                              ,AL                                      ,35401-                                  ,TUSCALOOSA                              ,3133390,,,2405495,,,.1625,1283049,492648,510,186150,38519,32499,149788,50.04,3051.27,,6242,7148,25107,,,,,,1562,661
010095,01-OCT-20,30-SEP-21,Amended,HALE COUNTY HOSPITAL                    ,508 GREENE STREET                       ,,GREENSBORO                              ,AL                                      ,36744                                   ,HALE                                    ,,,,24352,,,.12,,,39,14235,821,247,1965,,30.65,,137,95,426,11,,,,,,
010097,01-JAN-21,31-DEC-21,As Submitted,ELMORE COMMUNITY HOSPITAL               ,500 HOSPITAL DRIVE                      ,,WETUMPKA                                ,AL                                      ,36092                                   ,ELMORE                                  ,,,,28845,,,.1109,,,33,12045,678,614,4433,,134.89,,157,105,849,,,,,,,
010099,01-OCT-20,30-SEP-21,Amended,D W MCMILLAN MEMORIAL HOSPITAL          ,1301 BELLEVILLE AVENUE                  ,908                                     ,BREWTON                                 ,AL                                      ,36427                                   ,ESCAMBIA                                ,,,,75250,,,.12,,,46,16790,1723,628,5213,,177.21,,363,294,1294,,,,,,,
010100,01-APR-21,31-MAR-22,As Submitted,THOMAS HOSPITAL                         ,750 MORPHY AVE                          ,929                                     ,FAIRHOPE                                ,AL                                      ,36532-                                  ,BALDWIN                                 ,2380212,,,394290,,,.0622,846954,389289,129,44895,13416,8365,47679,8.11,821,,2634,1895,10712,,,,,13,,296
010101,01-JAN-21,31-DEC-21,As Submitted,CITIZENS BAPTIST MEDICAL CENTER         ,604 STONE AVENUE                        ,,TALLADEGA                               ,AL                                      ,35161                                   ,TALLADEGA                               ,,,,50541,,,.0679,,,103,37595,1656,1065,9521,,160.9,,459,289,1893,,,,,,,
010102,01-OCT-20,30-SEP-21,As Submitted,JOHN PAUL JONES HOSPITAL                ,317 MCWILLIAMS AVENUE                   ,B                                       ,CAMDEN                                  ,AL                                      ,36726-1610                              ,WILCOX                                  ,,,,2968,,,.12,,,21,7665,70,43,355,,35.36,,21,18,84,,,,,,,
010103,01-JAN-21,31-DEC-21,As Submitted,PRINCETON BAPTIST MEDICAL CENTER        ,701 PRINCETON AVE SW                    ,,BIRMINGHAM                              ,AL                                      ,35211                                   ,JEFFERSON                               ,2246645,,,638394,,,.1172,3895950,1000114,273,99645,10918,9841,57300,54.52,793,,1984,1458,10382,,,,27,,366,
010104,01-JUL-21,30-JUN-22,As Submitted,GRANDVIEW MEDICAL CENTER                ,800 MONTCLAIR ROAD                      ,,BIRMINGHAM                              ,AL                                      ,35213                                   ,JEFFERSON                               ,2420593,,,857880,,,.0663,2092554,942090,405,147825,23522,15817,118144,43.9,1934.49,,4663,2384,23478,,,,6,,933,662
010108,01-JUL-21,30-JUN-22,As Submitted,PRATTVILLE BAPTIST HOSPITAL             ,124 SOUTH MEMORIAL DRIVE                ,,PRATTVILLE                              ,AL                                      ,36067-                                  ,AUTAUGA                                 ,,,,70435,,,.0483,,,55,20075,4121,1361,15984,,329.22,,794,328,3049,,,,41,,347,
010110,01-JAN-21,31-DEC-21,As Submitted,BULLOCK COUNTY HOSPITAL                 ,BULLOCK COUNTY HOSPITAL                 ,102 CONECUH AVENUE                      ,UNION SPRINGS                           ,AL                                      ,36089                                   ,BULLOCK                                 ,,,,5753,,,.12,,,25,9125,179,472,1317,,75.8,,27,35,208,,,,174,,600,
010112,01-OCT-20,30-SEP-21,As Submitted,WHITFIELD MEMORIAL HOSPITAL             ,105 HIGHWAY 80 EAST                     ,,DEMOPOLIS                               ,AL                                      ,36732                                   ,MARENGO                                 ,,,,114424,,,.12,,,44,16060,2781,928,7418,,200.73,,442,205,1296,,,,155,,482,
010113,01-APR-21,31-MAR-22,As Submitted,MOBILE INFIRMARY MEDICAL CENTER         ,FIVE MOBILE INFIRMARY CIRCLE            ,2144                                    ,MOBILE                                  ,AL                                      ,36652-                                  ,MOBILE                                  ,133586,,,2662523,,,.2257,92111,32900,596,217540,30118,43402,146209,3.08,1919.8,,4482,3239,22575,,,,146,57,413,534
010114,01-OCT-20,30-SEP-21,As Submitted,UAB MEDICAL WEST                        ,995 NINTH AVENUE  SOUTHWEST             ,847                                     ,BESSEMER                                ,AL                                      ,35023                                   ,JEFFERSON                               ,,,,246327,,,.0958,,,204,74460,6386,5639,33558,,883.13,883.13,1118,1130,6094,,,,28,62,304,326
010118,01-JUL-21,30-JUN-22,As Submitted,VAUGHAN REGIONAL MEDICAL CENTER         ,1015 MEDICAL CENTER PARKWAY             ,,SELMA                                   ,AL                                      ,36701                                   ,DALLAS                                  ,291390,,,461933,,,.3528,352402,160167,109,39785,2737,4535,13323,17.01,349.14,,694,1338,3933,2,,,,,,
010120,01-OCT-20,30-SEP-21,As Submitted,MONROE COUNTY HOSPITAL                  ,2016 SOUTH ALABAMA AVENUE               ,886                                     ,MONROEVILLE                             ,AL                                      ,36461                                   ,MONROE                                  ,,,,48901,,,.12,,,46,16790,1074,900,4390,,178.91,,247,257,982,,,,,,,
010125,01-JAN-21,31-DEC-21,Amended,LAKELAND COMMUNITY HOSPITAL             ,42024 HIGHWAY 195                       ,780                                     ,HALEYVILLE                              ,AL                                      ,35565                                   ,WINSTON                                 ,,,,43303,,,.0821,,,49,17885,2286,339,3821,,109.33,,363,76,892,,,,,,93,
010126,01-APR-21,31-MAR-22,As Submitted,TROY REGIONAL MEDICAL CENTER            ,130 HIGHWAY 231                         ,,TROY                                    ,AL                                      ,36081                                   ,PIKE                                    ,,,,39439,,,.12,,,41,14965,691,786,3862,,219.14,,189,190,921,,,,37,,187,
010128,01-JAN-21,31-DEC-21,Amended,JACKSON MEDICAL CENTER                  ,220 HOSPITAL DRIVE                      ,,JACKSON                                 ,AL                                      ,36545                                   ,CLARKE                                  ,,,,27216,,,.12,,,35,12775,905,544,3107,,99.64,,162,173,666,,,,,,,
010129,01-APR-21,31-MAR-22,As Submitted,NORTH BALDWIN INFIRMARY                 ,1815 HAND AVENUE                        ,1409                                    ,BAY MINETTE                             ,AL                                      ,36507                                   ,BALDWIN                                 ,,,,67212,,,.12,,,25,9125,1262,2083,6255,,176.9,,310,662,2069,,,,66,,322,
010130,01-JUL-21,30-JUN-22,As Submitted,ST. VINCENTS ST. CLAIR                  ,7063 VETERANS PARKWAY                   ,,PELL CITY                               ,AL                                      ,35125                                   ,ST. CLAIR                               ,,,,,,,,,,40,14600,2568,557,10004,,169.11,,480,146,1975,,,,,,,
010131,01-JUL-21,30-JUN-22,Amended,CRESTWOOD MEDICAL CENTER                ,ONE HOSPITAL DRIVE                      ,,HUNTSVILLE                              ,AL                                      ,35801-                                  ,MADISON                                 ,,,,142210,,,.0274,,,174,63510,10815,3144,38278,,971.24,,2196,625,8561,,,,,,,
010138,01-JAN-21,31-DEC-21,As Submitted,HILL HOSPITAL OF SUMTER COUNTY          ,751 DERBY DRIVE                         ,,YORK                                    ,AL                                      ,36925                                   ,SUMTER                                  ,,,,5091,,,.12,,,33,12045,287,1984,3715,,49.82,,40,106,333,,,,,,,
010139,01-JAN-21,31-DEC-21,As Submitted,BROOKWOOD BAPTIST MEDICAL CENTER        ,2010 BROOKWOOD MEDICAL CENTER DRIVE     ,,BIRMINGHAM                              ,AL                                      ,35209                                   ,JEFFERSON                               ,,,,646116,,,.1293,,,429,156585,10682,12997,63284,,931.66,,1772,1648,12003,9,30,,632,,2604,697
010144,01-JAN-21,31-DEC-21,As Submitted,SPRINGHILL MEMORIAL HOSPITAL            ,3719 DAUPHIN STREET                     ,,MOBILE                                  ,AL                                      ,36608                                   ,MOBILE                                  ,,,,385185,,,.0671,,,189,68985,11221,5920,56458,,1005.36,,1910,1147,9602,,,,,,,271
010148,01-JAN-21,31-DEC-21,As Submitted,EVERGREEN MEDICAL CENTER                ,101 CRESTVIEW AVENUE                    ,,EVERGREEN                               ,AL                                      ,36401-                                  ,CONECUH                                 ,,,,51457,,,.0739,,,44,16060,1924,529,4614,,103.99,,495,191,1172,,,,,,,
010149,01-JUL-21,30-JUN-22,As Submitted,BAPTIST MEDICAL CENTER EAST             ,400 TAYLOR ROAD                         ,,MONTGOMERY                              ,AL                                      ,36117-                                  ,MONTGOMERY                              ,,,,767645,,,.263,,,184,67160,8435,17266,63480,,894.17,,1452,4157,11662,1399,,,,,,
010150,01-OCT-20,30-SEP-21,As Submitted,REGIONAL MEDICAL CTR OF CENTRAL AL      ,29 LV STABLER DRIVE                     ,,GREENVILLE                              ,AL                                      ,36037                                   ,BUTLER                                  ,,,,36746,,,.0833,,,44,16060,1297,406,3648,,141.83,,248,100,705,,,,15,,176,
010157,01-APR-21,31-MAR-22,As Submitted,SHOALS HOSPITAL                         ,201 W AVALON AVE.                       ,3359                                    ,MUSCLE SHOALS                           ,AL                                      ,35661                                   ,COLBERT                                 ,,,,32927,,,.12,,,122,44530,1022,1935,7164,,152.86,,179,304,1365,6,,,,3,357,722
010158,01-JAN-21,31-DEC-21,As Submitted,RUSSELLVILLE HOSPITAL                   ,15155 HIGHWAY 43                        ,1089                                    ,RUSSELLVILLE                            ,AL                                      ,35653                                   ,,,,,87559,,,.1279,,,49,17885,2026,672,4945,,172.16,,377,132,1006,,,,,,,
010164,01-AUG-21,31-JUL-22,As Submitted,COOSA VALLEY MEDICAL CENTER             ,315 WEST HICKORY STREET                 ,,SYLACAUGA                               ,AL                                      ,35150                                   ,TALLADEGA                               ,,,,199742,,,.1808,,,122,44530,2641,3057,12541,,338.76,,529,794,2715,,,,24,,293,
010168,01-JAN-21,31-DEC-21,As Submitted,JACK HUGHSTON MEMORIAL HOSPITAL         ,4401 RIVER CHASE DRIVE                  ,,PHENIX CITY                             ,AL                                      ,36867                                   ,RUSSELL                                 ,1192730,,,,,,,434947,209134,47,17155,2306,128,7022,9.24,290.54,,821,34,2755,11,,,,,,
010169,01-OCT-20,30-SEP-21,As Submitted,ATMORE COMMUNITY HOSPITAL               ,401 MEDICAL PARK DRIVE                  ,,ATMORE                                  ,AL                                      ,36502                                   ,ESCAMBIA                                ,,,,14738,,,.0458,,,49,17885,1148,408,5598,,193.17,,211,102,905,,,,,,,
010173,01-JUL-21,30-JUN-22,Reopened,ST. VINCENTS CHILTON                    ,2030 LAY DAM ROAD                       ,,CLANTON                                 ,AL                                      ,35045                                   ,CHILTON                                 ,,,,4473,,,.0251,,,26,9490,402,159,2363,,120.94,,99,70,652,,,,,,,
010174,01-JAN-21,31-DEC-21,As Submitted,THOMASVILLE REGIONAL MEDICAL CENTER     ,300 MED PARK DRIVE                      ,,THOMASVILLE                             ,AL                                      ,36784                                   ,CLARKE                                  ,,,,9673,,,.0704,,,29,10585,299,54,623,,94.46,,82,41,248,,,,,,,
010175,01-OCT-20,30-SEP-21,As Submitted,EAMC-LANIER                             ,4800 48TH STREET                        ,,VALLEY                                  ,AL                                      ,36854                                   ,CHAMBERS                                ,,,,11880,,,.0395,,,14,5110,814,228,2531,,217.18,,163,44,512,,,,,,,214
011300,01-OCT-20,30-SEP-21,As Submitted,WASHINGTON COUNTY HOSPITAL              ,ST. STEPHENS AVENUE                     ,1299                                    ,CHATOM                                  ,AL                                      ,36518                                   ,WASHINGTON                              ,,,,,,,,,,15,5475,853,287,1910,,80.97,,97,74,259,,,,,,,
