,label,concept
K201501_002E,Estimate!!Total:!!Less than 9th grade,Educational Attainment for the Population 25 Years and Over
K201501_001E,Estimate!!Total:,Educational Attainment for the Population 25 Years and Over
K201501_005E,"Estimate!!Total:!!Some college, no degree",Educational Attainment for the Population 25 Years and Over
K201501_004E,Estimate!!Total:!!High school graduate (includes equivalency),Educational Attainment for the Population 25 Years and Over
K201501_008E,Estimate!!Total:!!Graduate or professional degree,Educational Attainment for the Population 25 Years and Over
K201501_007E,Estimate!!Total:!!Bachelor's degree,Educational Attainment for the Population 25 Years and Over
K202301_005E,Estimate!!Total:!!In labor force:!!Civilian labor force:!!Unemployed,Employment Status for the Population 16 Years and Over
K202301_004E,Estimate!!Total:!!In labor force:!!Civilian labor force:!!Employed,Employment Status for the Population 16 Years and Over
K202301_007E,Estimate!!Total:!!Not in labor force,Employment Status for the Population 16 Years and Over
K202301_001E,Estimate!!Total:,Employment Status for the Population 16 Years and Over
K202301_002E,Estimate!!Total:!!In labor force:,Employment Status for the Population 16 Years and Over
K202301_003E,Estimate!!Total:!!In labor force:!!Civilian labor force:,Employment Status for the Population 16 Years and Over
K202301_006E,Estimate!!Total:!!In labor force:!!Armed Forces,Employment Status for the Population 16 Years and Over
K201903_002E,"Estimate!!Total:!!Less than $20,000",Family Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars)
K201903_001E,Estimate!!Total:,Family Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars)
K201903_005E,"Estimate!!Total:!!$60,000 to $99,999",Family Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars)
K201903_003E,"Estimate!!Total:!!$20,000 to $39,999",Family Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars)
K201903_008E,"Estimate!!Total:!!$200,000 or more",Family Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars)
K201903_004E,"Estimate!!Total:!!$40,000 to $59,999",Family Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars)
K201903_007E,"Estimate!!Total:!!$150,000 to $199,999",Family Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars)
K201903_006E,"Estimate!!Total:!!$100,000 to $149,999",Family Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars)
K200701PR_004E,Estimate!!Total:!!Moved from different municipio,Geographical Mobility in the Past Year in Puerto Rico
K200701PR_002E,Estimate!!Total:!!Same house 1 year ago,Geographical Mobility in the Past Year in Puerto Rico
K200701PR_006E,Estimate!!Total:!!Moved from elsewhere,Geographical Mobility in the Past Year in Puerto Rico
K200701PR_001E,Estimate!!Total:,Geographical Mobility in the Past Year in Puerto Rico
K200701PR_005E,Estimate!!Total:!!Moved from the United States,Geographical Mobility in the Past Year in Puerto Rico
K200701PR_003E,Estimate!!Total:!!Moved within same municipio,Geographical Mobility in the Past Year in Puerto Rico
K200701_003E,Estimate!!Total:!!Moved within same county,Geographical Mobility in the Past Year in the United States
K200701_004E,Estimate!!Total:!!Moved from different county within same state,Geographical Mobility in the Past Year in the United States
K200701_006E,Estimate!!Total:!!Moved from abroad,Geographical Mobility in the Past Year in the United States
K200701_002E,Estimate!!Total:!!Same house 1 year ago,Geographical Mobility in the Past Year in the United States
K200701_005E,Estimate!!Total:!!Moved from different state,Geographical Mobility in the Past Year in the United States
K200701_001E,Estimate!!Total:,Geographical Mobility in the Past Year in the United States
K202507_007E,Estimate!!Total:!!No cash rent,Gross Rent
K202507_003E,Estimate!!Total:!!With cash rent:!!Less than $500,Gross Rent
K202507_005E,"Estimate!!Total:!!With cash rent:!!$1,000 to $1,999",Gross Rent
K202507_002E,Estimate!!Total:!!With cash rent:,Gross Rent
K202507_004E,Estimate!!Total:!!With cash rent:!!$500 to $999,Gross Rent
K202507_001E,Estimate!!Total:,Gross Rent
K202507_006E,"Estimate!!Total:!!With cash rent:!!$2,000 or more",Gross Rent
K202601_001E,Estimate!!Total:,Group Quarters Population
K200301_002E,Estimate!!Total:!!Not Hispanic or Latino,Hispanic or Latino Origin
K200301_001E,Estimate!!Total:,Hispanic or Latino Origin
K200301_003E,Estimate!!Total:!!Hispanic or Latino,Hispanic or Latino Origin
K201901_001E,Estimate!!Total:,Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars)
K201901_005E,"Estimate!!Total:!!$60,000 to $99,999",Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars)
K201901_008E,"Estimate!!Total:!!$200,000 or more",Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars)
K201901_007E,"Estimate!!Total:!!$150,000 to $199,999",Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars)
K201901_004E,"Estimate!!Total:!!$40,000 to $59,999",Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars)
K201901_006E,"Estimate!!Total:!!$100,000 to $149,999",Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars)
K201901_003E,"Estimate!!Total:!!$20,000 to $39,999",Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars)
K201901_002E,"Estimate!!Total:!!Less than $20,000",Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars)
K201601_004E,Estimate!!Total:!!Spanish:!!Limited English speaking household,Household Language
K201601_006E,Estimate!!Total:!!Other languages:,Household Language
K201601_003E,Estimate!!Total:!!Spanish:,Household Language
K201601_005E,Estimate!!Total:!!Spanish:!!Not a limited English speaking household,Household Language
K201601_007E,Estimate!!Total:!!Other languages:!!Limited English speaking household,Household Language
K201601_008E,Estimate!!Total:!!Other languages:!!Not a limited English speaking household,Household Language
K201601_001E,Estimate!!Total:,Household Language
K201601_002E,Estimate!!Total:!!English only,Household Language
K200901_007E,Estimate!!Total:!!Nonfamily households:,Household Type
K200901_009E,Estimate!!Total:!!Nonfamily households:!!Householder not living alone,Household Type
K200901_003E,Estimate!!Total:!!Family households:!!Married-couple family,Household Type
K200901_001E,Estimate!!Total:,Household Type
K200901_002E,Estimate!!Total:!!Family households:,Household Type
K200901_005E,"Estimate!!Total:!!Family households:!!Other family:!!Male householder, no spouse present",Household Type
K200901_008E,Estimate!!Total:!!Nonfamily households:!!Householder living alone,Household Type
K200901_004E,Estimate!!Total:!!Family households:!!Other family:,Household Type
K200901_006E,"Estimate!!Total:!!Family households:!!Other family:!!Female householder, no spouse present",Household Type
K201102_007E,Estimate!!Total:!!Households with no people 60 years and over:!!Nonfamily households,Households by Presence of People 60 Years and Over by Household Type
K201102_002E,Estimate!!Total:!!Households with one or more people 60 years and over:,Households by Presence of People 60 Years and Over by Household Type
K201102_006E,Estimate!!Total:!!Households with no people 60 years and over:!!Family households,Households by Presence of People 60 Years and Over by Household Type
K201102_003E,Estimate!!Total:!!Households with one or more people 60 years and over:!!Family households,Households by Presence of People 60 Years and Over by Household Type
K201102_001E,Estimate!!Total:,Households by Presence of People 60 Years and Over by Household Type
K201102_004E,Estimate!!Total:!!Households with one or more people 60 years and over:!!Nonfamily households,Households by Presence of People 60 Years and Over by Household Type
K201102_005E,Estimate!!Total:!!Households with no people 60 years and over:,Households by Presence of People 60 Years and Over by Household Type
K202502_002E,Estimate!!Total:!!Owner occupied,Housing Tenure
K202502_003E,Estimate!!Total:!!Renter occupied,Housing Tenure
K202502_001E,Estimate!!Total:,Housing Tenure
K202509_006E,"Estimate!!Total:!!$200,000 to $299,999",Housing Value
K202509_007E,"Estimate!!Total:!!$300,000 to $499,999",Housing Value
K202509_008E,"Estimate!!Total:!!$500,000 to $999,999",Housing Value
K202509_001E,Estimate!!Total:,Housing Value
K202509_002E,"Estimate!!Total:!!Less than $50,000",Housing Value
K202509_004E,"Estimate!!Total:!!$100,000 to $149,999",Housing Value
K202509_009E,"Estimate!!Total:!!$1,000,000 or more",Housing Value
K202509_005E,"Estimate!!Total:!!$150,000 to $199,999",Housing Value
K202509_003E,"Estimate!!Total:!!$50,000 to $99,999",Housing Value
K202403_008E,Estimate!!Total:!!Information,Industry for the Civilian Employed Population 16 Years and Over
K202403_007E,"Estimate!!Total:!!Transportation and warehousing, and utilities",Industry for the Civilian Employed Population 16 Years and Over
K202403_004E,Estimate!!Total:!!Manufacturing,Industry for the Civilian Employed Population 16 Years and Over
K202403_009E,"Estimate!!Total:!!Finance and insurance, and real estate and rental and leasing",Industry for the Civilian Employed Population 16 Years and Over
K202403_001E,Estimate!!Total:,Industry for the Civilian Employed Population 16 Years and Over
K202403_005E,Estimate!!Total:!!Wholesale trade,Industry for the Civilian Employed Population 16 Years and Over
K202403_002E,"Estimate!!Total:!!Agriculture, forestry, fishing and hunting, and mining",Industry for the Civilian Employed Population 16 Years and Over
K202403_006E,Estimate!!Total:!!Retail trade,Industry for the Civilian Employed Population 16 Years and Over
K202403_003E,Estimate!!Total:!!Construction,Industry for the Civilian Employed Population 16 Years and Over
K202403_011E,"Estimate!!Total:!!Educational services, and health care and social assistance",Industry for the Civilian Employed Population 16 Years and Over
K202403_012E,"Estimate!!Total:!!Arts, entertainment, and recreation, and accommodation and food services",Industry for the Civilian Employed Population 16 Years and Over
K202403_010E,"Estimate!!Total:!!Professional, scientific, and management, and administrative and waste management services",Industry for the Civilian Employed Population 16 Years and Over
K202403_013E,"Estimate!!Total:!!Other services, except public administration",Industry for the Civilian Employed Population 16 Years and Over
K202403_014E,Estimate!!Total:!!Public administration,Industry for the Civilian Employed Population 16 Years and Over
K201001_002E,Estimate!!Total:!!Never married,Marital Status for the Population 15 Years and Over
K201001_003E,Estimate!!Total:!!Now married (except separated),Marital Status for the Population 15 Years and Over
K201001_004E,Estimate!!Total:!!Separated,Marital Status for the Population 15 Years and Over
K201001_005E,Estimate!!Total:!!Widowed,Marital Status for the Population 15 Years and Over
K201001_006E,Estimate!!Total:!!Divorced,Marital Status for the Population 15 Years and Over
K201001_001E,Estimate!!Total:,Marital Status for the Population 15 Years and Over
K200801_005E,"Estimate!!Total:!!Taxicab, motorcycle, bicycle, walked, or other means",Means of Transportation to Work
K200801_006E,Estimate!!Total:!!Worked from home,Means of Transportation to Work
K200801_002E,"Estimate!!Total:!!Car, truck, or van - drove alone",Means of Transportation to Work
K200801_004E,Estimate!!Total:!!Public transportation (excluding taxicab),Means of Transportation to Work
K200801_003E,"Estimate!!Total:!!Car, truck, or van - carpooled",Means of Transportation to Work
K200801_001E,Estimate!!Total:,Means of Transportation to Work
K200103_001E,Estimate!!Median age --!!Total:,Median Age by Sex
K200103_002E,Estimate!!Median age --!!Male,Median Age by Sex
K200103_003E,Estimate!!Median age --!!Female,Median Age by Sex
K202002_001E,Estimate!!Median earnings in the past 12 months (in 2022 inflation-adjusted dollars) --!!Total (dollars):,Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Sex by Work Experience in the Past 12 Months for the Population 16 Years and Over With Earnings in the Past 12 Months
K202002_003E,"Estimate!!Median earnings in the past 12 months (in 2022 inflation-adjusted dollars) --!!Male --!!Worked full-time, year-round in the past 12 months (dollars)",Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Sex by Work Experience in the Past 12 Months for the Population 16 Years and Over With Earnings in the Past 12 Months
K202002_004E,Estimate!!Median earnings in the past 12 months (in 2022 inflation-adjusted dollars) --!!Total (dollars),Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Sex by Work Experience in the Past 12 Months for the Population 16 Years and Over With Earnings in the Past 12 Months
K202002_002E,Estimate!!Median earnings in the past 12 months (in 2022 inflation-adjusted dollars) --!!Male --!!Total (dollars),Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Sex by Work Experience in the Past 12 Months for the Population 16 Years and Over With Earnings in the Past 12 Months
K202002_005E,"Estimate!!Median earnings in the past 12 months (in 2022 inflation-adjusted dollars) --!!Worked full-time, year-round in the past 12 months (dollars)",Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Sex by Work Experience in the Past 12 Months for the Population 16 Years and Over With Earnings in the Past 12 Months
K201904_001E,Estimate!!Median family income in the past 12 months (in 2022 inflation-adjusted dollars),Median Family Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars)
K202511_001E,Estimate!!Median gross rent,Median Gross Rent (Dollars)
K201902_001E,Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars),Median Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars)
K201905_001E,Estimate!!Median nonfamily household income in the past 12 months (in 2022 inflation-adjusted dollars),Median Nonfamily Household Income in the Past 12 Months (in 2022 Inflation-Adjusted Dollars)
K202510_001E,Estimate!!Median value (dollars),Median Value (Dollars)
K202508_002E,Estimate!!Total:!!With a mortgage,Mortgage Status
K202508_003E,Estimate!!Total:!!Not mortgaged,Mortgage Status
K202508_001E,Estimate!!Total:,Mortgage Status
K202501_003E,Estimate!!Total:!!Vacant,Occupancy Status
K202501_001E,Estimate!!Total:,Occupancy Status
K202501_002E,Estimate!!Total:!!Occupied,Occupancy Status
K202401_001E,Estimate!!Total:,Occupation for the Civilian Employed Population 16 Years and Over
K202401_005E,"Estimate!!Total:!!Natural resources, construction, and maintenance occupations",Occupation for the Civilian Employed Population 16 Years and Over
K202401_006E,"Estimate!!Total:!!Production, transportation, and material moving occupations",Occupation for the Civilian Employed Population 16 Years and Over
K202401_002E,"Estimate!!Total:!!Management, business, science, and arts occupations",Occupation for the Civilian Employed Population 16 Years and Over
K202401_003E,Estimate!!Total:!!Service occupations,Occupation for the Civilian Employed Population 16 Years and Over
K202401_004E,Estimate!!Total:!!Sales and office occupations,Occupation for the Civilian Employed Population 16 Years and Over
K201101_002E,Estimate!!Total:!!In married-couple families,Own Children Under 18 Years by Family Type
K201101_005E,"Estimate!!Total:!!In other families:!!Female householder, no spouse present",Own Children Under 18 Years by Family Type
K201101_004E,"Estimate!!Total:!!In other families:!!Male householder, no spouse present",Own Children Under 18 Years by Family Type
K201101_001E,Estimate!!Total:,Own Children Under 18 Years by Family Type
K201101_003E,Estimate!!Total:!!In other families:,Own Children Under 18 Years by Family Type
K200503PR_005E,Estimate!!Total:!!Foreign born,Place of Birth in Puerto Rico
K200503PR_002E,Estimate!!Total:!!Born in Puerto Rico,Place of Birth in Puerto Rico
K200503PR_001E,Estimate!!Total:,Place of Birth in Puerto Rico
K200503PR_003E,Estimate!!Total:!!Born in the United States,Place of Birth in Puerto Rico
K200503PR_004E,"Estimate!!Total:!!Native, born elsewhere",Place of Birth in Puerto Rico
K200503_002E,Estimate!!Total:!!Native:,Place of Birth in the United States
K200503_004E,"Estimate!!Total:!!Native:!!Native, born in other state in the United States",Place of Birth in the United States
K200503_003E,"Estimate!!Total:!!Native:!!Native, born in state of residence",Place of Birth in the United States
K200503_006E,Estimate!!Total:!!Foreign born,Place of Birth in the United States
K200503_005E,"Estimate!!Total:!!Native:!!Native, born outside the United States",Place of Birth in the United States
K200503_001E,Estimate!!Total:,Place of Birth in the United States
K200102_004E,Estimate!!Total:!!In households:!!3 to 5 years,Population Under 18 Years by Age
K200102_007E,Estimate!!Total:!!In households:!!12 to 14 years,Population Under 18 Years by Age
K200102_005E,Estimate!!Total:!!In households:!!6 to 8 years,Population Under 18 Years by Age
K200102_001E,Estimate!!Total:,Population Under 18 Years by Age
K200102_002E,Estimate!!Total:!!In households:,Population Under 18 Years by Age
K200102_003E,Estimate!!Total:!!In households:!!Under 3 years,Population Under 18 Years by Age
K200102_006E,Estimate!!Total:!!In households:!!9 to 11 years,Population Under 18 Years by Age
K200102_008E,Estimate!!Total:!!In households:!!15 to 17 years,Population Under 18 Years by Age
K200102_009E,Estimate!!Total:!!In group quarters,Population Under 18 Years by Age
K200104_003E,Estimate!!Total:!!18 to 24 years,Population by Age
K200104_006E,Estimate!!Total:!!45 to 54 years,Population by Age
K200104_008E,Estimate!!Total:!!65 years and over,Population by Age
K200104_004E,Estimate!!Total:!!25 to 34 years,Population by Age
K200104_005E,Estimate!!Total:!!35 to 44 years,Population by Age
K200104_002E,Estimate!!Total:!!Under 18 years,Population by Age
K200104_001E,Estimate!!Total:,Population by Age
K200104_007E,Estimate!!Total:!!55 to 64 years,Population by Age
K200101_003E,Estimate!!Total:!!Female,Population by Sex
K200101_002E,Estimate!!Total:!!Male,Population by Sex
K200101_001E,Estimate!!Total:,Population by Sex
K201701_001E,Estimate!!Total:,Poverty Status in the Past 12 Months by Age
K201701_006E,Estimate!!Total:!!Income in the past 12 months at or above poverty level:,Poverty Status in the Past 12 Months by Age
K201701_005E,Estimate!!Total:!!Income in the past 12 months below poverty level:!!65 years and over,Poverty Status in the Past 12 Months by Age
K201701_004E,Estimate!!Total:!!Income in the past 12 months below poverty level:!!18 to 64 years,Poverty Status in the Past 12 Months by Age
K201701_002E,Estimate!!Total:!!Income in the past 12 months below poverty level:,Poverty Status in the Past 12 Months by Age
K201701_007E,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Under 18 years,Poverty Status in the Past 12 Months by Age
K201701_003E,Estimate!!Total:!!Income in the past 12 months below poverty level:!!Under 18 years,Poverty Status in the Past 12 Months by Age
K201701_009E,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!65 years and over,Poverty Status in the Past 12 Months by Age
K201701_008E,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!18 to 64 years,Poverty Status in the Past 12 Months by Age
K201703_010E,"Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other families:!!Male householder, no spouse present",Poverty Status in the Past 12 Months of Families by Household Type
K201703_011E,"Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other families:!!Female householder, no spouse present",Poverty Status in the Past 12 Months of Families by Household Type
K201703_008E,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Married-couple family,Poverty Status in the Past 12 Months of Families by Household Type
K201703_007E,Estimate!!Total:!!Income in the past 12 months at or above poverty level:,Poverty Status in the Past 12 Months of Families by Household Type
K201703_001E,Estimate!!Total:,Poverty Status in the Past 12 Months of Families by Household Type
K201703_006E,"Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other families:!!Female householder, no spouse present",Poverty Status in the Past 12 Months of Families by Household Type
K201703_005E,"Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other families:!!Male householder, no spouse present",Poverty Status in the Past 12 Months of Families by Household Type
K201703_004E,Estimate!!Total:!!Income in the past 12 months below poverty level:!!Other families:,Poverty Status in the Past 12 Months of Families by Household Type
K201703_003E,Estimate!!Total:!!Income in the past 12 months below poverty level:!!Married-couple family,Poverty Status in the Past 12 Months of Families by Household Type
K201703_002E,Estimate!!Total:!!Income in the past 12 months below poverty level:,Poverty Status in the Past 12 Months of Families by Household Type
K201703_009E,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Other families:,Poverty Status in the Past 12 Months of Families by Household Type
K202801_003E,Estimate!!Total:!!Has a computer:!!With dial-up Internet subscription alone,Presence of a Computer and Type of Internet Subscription in Household
K202801_004E,Estimate!!Total:!!Has a computer:!!With a broadband Internet subscription,Presence of a Computer and Type of Internet Subscription in Household
K202801_002E,Estimate!!Total:!!Has a computer:,Presence of a Computer and Type of Internet Subscription in Household
K202801_005E,Estimate!!Total:!!Has a computer:!!Without an Internet subscription,Presence of a Computer and Type of Internet Subscription in Household
K202801_006E,Estimate!!Total:!!No computer,Presence of a Computer and Type of Internet Subscription in Household
K202801_001E,Estimate!!Total:,Presence of a Computer and Type of Internet Subscription in Household
K202702_003E,Estimate!!Total:!!No private health insurance,Private Health Insurance Status
K202702_001E,Estimate!!Total:,Private Health Insurance Status
K202702_002E,Estimate!!Total:!!With private health insurance,Private Health Insurance Status
K202703_001E,Estimate!!Total:,Public Health Insurance Status
K202703_003E,Estimate!!Total:!!No public coverage,Public Health Insurance Status
K202703_002E,Estimate!!Total:!!With public coverage,Public Health Insurance Status
K200201_004E,Estimate!!Total:!!American Indian and Alaska Native alone,Race
K200201_008E,Estimate!!Total:!!Two or More Races,Race
K200201_005E,Estimate!!Total:!!Asian alone,Race
K200201_007E,Estimate!!Total:!!Some Other Race alone,Race
K200201_006E,Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone,Race
K200201_001E,Estimate!!Total:,Race
K200201_002E,Estimate!!Total:!!White alone,Race
K200201_003E,Estimate!!Total:!!Black or African American alone,Race
K201702_002E,Estimate!!Total:!!Under .50,Ratio of Income to Poverty Level in the Past 12 Months
K201702_005E,Estimate!!Total:!!1.50 to 1.99,Ratio of Income to Poverty Level in the Past 12 Months
K201702_001E,Estimate!!Total:,Ratio of Income to Poverty Level in the Past 12 Months
K201702_006E,Estimate!!Total:!!2.00 and over,Ratio of Income to Poverty Level in the Past 12 Months
K201702_003E,Estimate!!Total:!!.50 to .99,Ratio of Income to Poverty Level in the Past 12 Months
K201702_004E,Estimate!!Total:!!1.00 to 1.49,Ratio of Income to Poverty Level in the Past 12 Months
K202201_002E,Estimate!!Total:!!Household received Food Stamps/SNAP in the past 12 months:,Receipt of Food Stamps/SNAP in the Past 12 Months by Presence of Children Under 18 Years for Households
K202201_007E,Estimate!!Total:!!Household did not receive Food Stamps/SNAP in the past 12 months:!!No children under 18 years,Receipt of Food Stamps/SNAP in the Past 12 Months by Presence of Children Under 18 Years for Households
K202201_006E,Estimate!!Total:!!Household did not receive Food Stamps/SNAP in the past 12 months:!!With children under 18 years,Receipt of Food Stamps/SNAP in the Past 12 Months by Presence of Children Under 18 Years for Households
K202201_005E,Estimate!!Total:!!Household did not receive Food Stamps/SNAP in the past 12 months:,Receipt of Food Stamps/SNAP in the Past 12 Months by Presence of Children Under 18 Years for Households
K202201_001E,Estimate!!Total:,Receipt of Food Stamps/SNAP in the Past 12 Months by Presence of Children Under 18 Years for Households
K202201_003E,Estimate!!Total:!!Household received Food Stamps/SNAP in the past 12 months:!!With children under 18 years,Receipt of Food Stamps/SNAP in the Past 12 Months by Presence of Children Under 18 Years for Households
K202201_004E,Estimate!!Total:!!Household received Food Stamps/SNAP in the past 12 months:!!No children under 18 years,Receipt of Food Stamps/SNAP in the Past 12 Months by Presence of Children Under 18 Years for Households
K201401_007E,Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 9 to grade 12,School Enrollment by Level of School for the Population 3 Years and Over
K201401_005E,Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 1 to grade 4,School Enrollment by Level of School for the Population 3 Years and Over
K201401_001E,Estimate!!Total:,School Enrollment by Level of School for the Population 3 Years and Over
K201401_010E,Estimate!!Total:!!Not enrolled in school,School Enrollment by Level of School for the Population 3 Years and Over
